S31,Fiona Grey,"C12 (Programming 101), C5 (ML202), C16 (Software Engineering)",,,,,,
S32,George White,"C13 (CyberSecurity101), C6 (DataSci301), C18 (Artificial Intelligence)",,,,,,
S33,Hannah Black,"C9 (Computer Networks), C6 (DataSci301), C7 (WebDev301)",,,,,,
S34,Ian Green,"C9 (Computer Networks), C5 (ML202), C12 (Programming 101), C16 (Software Engineering)",,,,,,
S35,Julia Red,"C18 (Artificial Intelligence), C7 (WebDev301), C6 (DataSci301), C16 (Software Engineering)",,,,,,
S36,Kevin Blue,"C9 (Computer Networks), C2 (CS101), C6 (DataSci301)",,,,,,
S37,Lucy Pink,"C16 (Software Engineering), C17 (Big Data Analytics), C10 (Database Systems)",,,,,,
S38,Mason Orange,"C9 (Computer Networks), C1 (Math101), C17 (Big Data Analytics), C2 (CS101)",,,,,,
S39,Nina Purple,"C7 (WebDev301), C6 (DataSci301), C9 (Computer Networks), C10 (Database Systems)",,,,,,
S40,Oliver Grey,"C5 (ML202), C16 (Software Engineering), C10 (Database Systems)",,,,,,
S41,Peter Green,"C12 (Programming 101), C18 (Artificial Intelligence), C16 (Software Engineering)",,,,,,
S42,Quentin Yellow,"C7 (WebDev301), C2 (CS101), C16 (Software Engineering)",,,,,,
S43,Rachel Brown,"C5 (ML202), C13 (CyberSecurity101), C2 (CS101), C10 (Database Systems)",,,,,,
S44,Samuel Green,"C17 (Big Data Analytics), C13 (CyberSecurity101), C2 (CS101)",,,,,,
S45,Tessa Grey,"C9 (Computer Networks), C5 (ML202), C12 (Programming 101), C7 (WebDev301)",,,,,,
S46,Ursula Pink,"C9 (Computer Networks), C10 (Database Systems), C7 (WebDev301)",,,,,,
S47,Victor Blue,"C7 (WebDev301), C18 (Artificial Intelligence), C16 (Software Engineering)",,,,,,
S48,Wendy Black,"C2 (CS101), C18 (Artificial Intelligence), C12 (Programming 101), C6 (DataSci301)",,,,,,
S49,Xander Blue,"C7 (WebDev301), C6 (DataSci301), C10 (Database Systems)",,,,,,
S50,Yara White,"C16 (Software Engineering), C12 (Programming 101), C13 (CyberSecurity101), C7 (WebDev301)",,,,,,
S51,Zach Green,"C2 (CS101), C5 (ML202), C10 (Database Systems)",,,,,,
S52,Alice Red,"C7 (WebDev301), C6 (DataSci301), C17 (Big Data Analytics), C16 (Software Engineering)",,,,,,
S53,Bob Green,"C5 (ML202), C6 (DataSci301), C2 (CS101), C18 (Artificial Intelligence), C16 (Software Engineering)",,,,,,
S54,Clara Brown,"C5 (ML202), C12 (Programming 101)",,,,,,
S55,Derek Red,"C5 (ML202), C8 (CloudComp202), C6 (DataSci301)",,,,,,
S56,Edward White,"C18 (Artificial Intelligence), C10 (Database Systems), C7 (WebDev301)",,,,,,
S57,Fiona Yellow,"C2 (CS101), C9 (Computer Networks), C7 (WebDev301)",,,,,,
S58,George Green,"C9 (Computer Networks), C7 (WebDev301), C6 (DataSci301)",,,,,,
S59,Hannah Black,"C2 (CS101), C12 (Programming 101), C17 (Big Data Analytics)",,,,,,
S60,Ian Yellow,"C16 (Software Engineering), C12 (Programming 101), C6 (DataSci301)",,,,,,
S61,Jack Green,"C13 (CyberSecurity101), C9 (Computer Networks), C5 (ML202)",,,,,,
S62,Kevin White,"C17 (Big Data Analytics), C12 (Programming 101), C16 (Software Engineering)",,,,,,
S63,Laura Blue,"C7 (WebDev301), C5 (ML202), C9 (Computer Networks), C16 (Software Engineering)",,,,,,
S64,Mike Green,"C9 (Computer Networks), C13 (CyberSecurity101), C6 (DataSci301)",,,,,,
S65,Nora Black,"C5 (ML202), C18 (Artificial Intelligence), C2 (CS101)",,,,,,
S66,Olivia Red,"C6 (DataSci301), C5 (ML202), C9 (Computer Networks)",,,,,,
S67,Peter Yellow,"C18 (Artificial Intelligence), C16 (Software Engineering), C5 (ML202)",,,,,,
S68,Quentin Blue,"C5 (ML202), C13 (CyberSecurity101), C2 (CS101), C16 (Software Engineering)",,,,,,
S69,Rachel Green,"C6 (DataSci301), C7 (WebDev301), C16 (Software Engineering)",,,,,,
S70,Sam Yellow,"C7 (WebDev301), C16 (Software Engineering), C5 (ML202)",,,,,,
S71,Tessa Black,"C2 (CS101), C13 (CyberSecurity101), C6 (DataSci301), C5 (ML202)",,,,,,
S72,Ursula Blue,"C7 (WebDev301), C9 (Computer Networks), C5 (ML202)",,,,,,
S73,Victor Green,"C13 (CyberSecurity101), C7 (WebDev301), C16 (Software Engineering), C10 (Database Systems)",,,,,,
S74,Wendy Red,"C7 (WebDev301), C9 (Computer Networks), C6 (DataSci301), C10 (Database Systems)",,,,,,
S75,Xander White,"C17 (Big Data Analytics), C5 (ML202), C6 (DataSci301)",,,,,,
S76,Yara Yellow,"C7 (WebDev301), C9 (Computer Networks), C6 (DataSci301)",,,,,,
S77,Zach White,"C10 (Database Systems), C18 (Artificial Intelligence), C7 (WebDev301)",,,,,,
S78,Alice Blue,"C17 (Big Data Analytics), C9 (Computer Networks)",,,,,,
S79,Brian Green,"C12 (Programming 101), C9 (Computer Networks), C6 (DataSci301)",,,,,,
S80,Cathy Yellow,"C2 (CS101), C10 (Database Systems)",,,,,,

